TOT_POP,ICU Beds_x,Population Aged 60+,anycondition_prevalence,anycondition_number,Obesity_prevalence,Obesity_number,Heart disease_prevalence,COPD_prevalence,COPD_number,diabetes_number,CKD_number,y
35108.0,5.0,9303.0,50.3,13829.0,37.6,10335.0,9.1,8.6,2361.0,3838.0,1003.0,2512
15902.0,4.0,6467.0,45.9,6077.0,31.8,4212.0,10.5,8.3,1097.0,1838.0,534.0,1394
22107.0,0.0,6449.0,37.4,6674.0,27.3,4867.0,8.8,8.3,1480.0,2271.0,651.0,1572
7788.0,0.0,2064.0,53.1,3177.0,37.8,2261.0,9.9,10.6,632.0,971.0,240.0,590
28616.0,0.0,6333.0,51.2,11266.0,35.3,7762.0,8.2,9.2,2012.0,3177.0,766.0,1794
17987.0,4.0,5588.0,40.8,5836.0,27.3,3906.0,8.0,7.7,1102.0,1676.0,502.0,1139
37300.0,0.0,11100.0,43.8,13670.0,31.7,9902.0,8.4,8.9,2771.0,3540.0,1010.0,2635
2192.0,0.0,735.0,47.9,828.0,36.1,624.0,10.4,8.8,152.0,239.0,67.0,179
6659.0,0.0,1807.0,59.6,3109.0,41.9,2186.0,12.2,14.8,770.0,902.0,213.0,635
56811.0,5.0,11916.0,46.5,20549.0,35.4,15637.0,8.2,9.8,4327.0,5554.0,1284.0,3603
28719.0,0.0,7726.0,54.7,12311.0,39.5,8897.0,10.7,10.9,2444.0,3601.0,899.0,2402
21764.0,0.0,8279.0,44.0,8032.0,31.3,5718.0,9.2,8.7,1586.0,2122.0,630.0,1686
4795.0,0.0,822.0,55.5,2097.0,44.0,1663.0,9.1,8.2,309.0,652.0,154.0,343
442.0,0.0,89.0,54.8,176.0,40.8,131.0,10.7,9.9,32.0,64.0,15.0,35
15150.0,0.0,3493.0,42.5,4893.0,34.2,3933.0,7.1,6.2,709.0,1188.0,341.0,818
6422.0,0.0,1381.0,46.5,2302.0,33.0,1634.0,9.2,9.8,485.0,705.0,185.0,457
143277.0,48.0,28610.0,47.7,52412.0,36.1,39660.0,7.7,8.4,9193.0,14265.0,3459.0,8466
25733.0,4.0,4914.0,26.9,5664.0,20.3,4278.0,5.2,5.1,1072.0,1521.0,515.0,1102
13057.0,0.0,3478.0,41.4,4315.0,32.3,3369.0,7.9,6.2,644.0,1115.0,325.0,822
12772.0,0.0,3036.0,55.8,5525.0,39.8,3939.0,11.2,13.9,1379.0,1571.0,371.0,1111
3478.0,0.0,1378.0,55.6,1608.0,39.1,1131.0,12.8,11.6,335.0,543.0,140.0,371
12690.0,0.0,3778.0,51.2,4942.0,38.9,3754.0,9.2,8.3,800.0,1206.0,344.0,885
63916.0,8.0,15876.0,46.8,22722.0,34.2,16605.0,8.7,9.4,4555.0,6289.0,1864.0,4221
996945.0,468.0,235062.0,40.7,316527.0,29.9,232448.0,6.8,6.7,52225.0,81047.0,22399.0,52875
1769.0,0.0,514.0,45.8,630.0,34.8,478.0,8.9,7.4,101.0,163.0,47.0,122
6580.0,0.0,1215.0,39.3,1753.0,31.8,1419.0,6.5,6.3,279.0,464.0,129.0,288
73139.0,4.0,20511.0,44.7,26107.0,31.9,18622.0,8.7,8.2,4794.0,7475.0,2058.0,5051
414576.0,211.0,68651.0,42.6,138891.0,36.3,118318.0,5.8,5.8,18970.0,35795.0,9167.0,18763
9864.0,0.0,1826.0,49.7,3503.0,38.9,2740.0,8.4,7.8,548.0,1063.0,254.0,592
36629.0,7.0,9240.0,47.9,13376.0,36.7,10255.0,10.0,12.0,3367.0,3870.0,1004.0,2789
10897.0,0.0,2825.0,53.0,4393.0,37.0,3066.0,10.2,10.4,865.0,1355.0,332.0,847
169401.0,35.0,41209.0,48.7,64494.0,36.5,48381.0,8.1,8.4,11174.0,17658.0,4627.0,10671
35873.0,6.0,8587.0,40.7,11253.0,35.3,9750.0,7.0,6.0,1656.0,2741.0,815.0,1931
31129.0,10.0,5398.0,46.0,10851.0,37.2,8775.0,6.7,5.6,1318.0,3107.0,758.0,1570
